crop_name,green_wf,blue_wf,grey_wf,total_wf
"Abaca, manila hemp, raw",16082.1,849.4,0.0,16931.5
"Agave fibres, raw, n.e.c.",9841.2,36.6,-0.0,9877.8
"Almonds, in shell",2312.0,1995.2,-0.0,4307.2
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2830.0,1114.1,0.0,3944.1
Apples,300.0,61.8,-0.0,361.8
Apricots,551.1,352.7,0.0,903.8
Areca nuts,5247.6,223.5,-0.0,5471.1
Artichokes,157.1,144.5,0.0,301.6
Asparagus,554.6,84.8,0.0,639.4
Avocados,675.5,264.5,-0.0,940.0
"Bambara beans, dry",4517.8,26.6,-0.0,4544.4
Bananas,370.1,35.5,0.0,405.6
Barley,613.0,47.5,0.0,660.5
"Beans, dry",2824.5,192.2,-0.0,3016.7
Beets for fodder,67.9,4.2,0.0,72.1
Blueberries,580.2,104.9,-0.0,685.1
"Brazil nuts, in shell",18708.6,14.3,0.0,18722.9
"Broad beans and horse beans, dry",1203.1,126.8,0.0,1329.9
"Broad beans and horse beans, green",286.6,287.8,0.0,574.4
Buckwheat,2701.5,395.4,0.0,3096.9
Cabbage for fodder,55.9,12.6,0.0,68.5
Cabbages,97.9,18.5,-0.0,116.4
Canary seed,2972.4,150.6,-0.0,3123.0
Cantaloupes and other melons,95.7,70.3,-0.0,166.0
Carrots and turnips,72.2,24.8,0.0,97.0
Carrots for fodder,50.4,37.7,-0.0,88.1
"Cashew nuts, in shell",13847.2,368.8,0.0,14216.0
Cashewapple,2972.6,187.9,-0.0,3160.5
"Cassava, fresh",340.7,2.1,-0.0,342.8
Castor oil seeds,2513.2,116.3,-0.0,2629.5
Cauliflowers and broccoli,155.0,39.1,0.0,194.1
Cereals n.e.c.,2182.3,95.3,-0.0,2277.6
Cherries,769.4,337.3,-0.0,1106.7
"Chestnuts, in shell",1452.1,110.1,0.0,1562.2
"Chick peas, dry",1549.1,457.7,0.0,2006.8
Chicory roots,90.0,9.3,0.0,99.3
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1310.1,250.3,0.0,1560.4
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",191.7,47.6,-0.0,239.3
"Cinnamon and cinnamon-tree flowers, raw",10251.4,401.6,-0.0,10653.0
Clover for forage,80.9,172.4,-0.0,253.3
"Cloves (whole stems), raw",36388.4,129.0,-0.0,36517.4
Cocoa beans,20897.3,114.3,-0.0,21011.6
"Coconuts, in shell",1644.6,16.1,-0.0,1660.7
"Coffee, green",9248.0,89.0,-0.0,9337.0
"Cow peas, dry",4842.9,19.7,0.0,4862.6
Cranberries,162.7,6.6,0.0,169.3
Cucumbers and gherkins,80.0,25.3,-0.0,105.3
Currants,653.3,20.1,-0.0,673.4
Dates,367.1,709.0,-0.0,1076.1
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",331.6,22.4,-0.0,354.0
Eggplants (aubergines),107.9,25.5,-0.0,133.4
Figs,717.1,800.2,0.0,1517.3
"Flax, processed but not spun",865.1,105.6,-0.0,970.7
Fonio,4222.9,2.1,0.0,4225.0
"Forage and silage, alfalfa",234.9,20.9,-0.0,255.8
"Forage and silage, green oilseeds",216.7,15.5,0.0,232.2
"Forage and silage, maize",101.0,9.7,0.0,110.7
"Forage and silage, rye grass",476.3,9.6,0.0,485.9
"Forage and silage, sorghum",182.3,38.2,-0.0,220.5
"Ginger, raw",352.9,8.9,-0.0,361.8
Gooseberries,637.1,19.0,0.0,656.1
Grapes,345.5,91.7,0.0,437.2
Green corn (maize),275.2,92.7,0.0,367.9
Green garlic,155.1,27.3,0.0,182.4
"Groundnuts, excluding shelled",2231.2,144.5,0.0,2375.7
"Hazelnuts, in shell",3768.3,715.3,0.0,4483.6
Hempseed,4291.1,505.1,-0.0,4796.2
Hop cones,2782.5,35.2,-0.0,2817.7
Jojoba seeds,7900.4,11507.3,-0.0,19407.7
"Jute, raw or retted",655.4,62.0,0.0,717.4
Kapok fruit,6291.6,20.1,-0.0,6311.7
Karite nuts (sheanuts),5893.5,58.3,0.0,5951.8
"Kenaf, and other textile bast fibres, raw or retted",1221.6,68.0,-0.0,1289.6
Kiwi fruit,336.8,54.0,0.0,390.8
Kola nuts,16828.2,17.7,0.0,16845.9
Leeks and other alliaceous vegetables,149.5,29.5,0.0,179.0
Lemons and limes,353.6,100.6,0.0,454.2
"Lentils, dry",1545.4,146.0,0.0,1691.4
Lettuce and chicory,125.2,36.9,0.0,162.1
Linseed,2567.3,222.3,0.0,2789.6
Locust beans (carobs),1181.8,528.8,-0.0,1710.6
Lupins,1314.7,67.0,-0.0,1381.7
Maize (corn),653.5,56.8,0.0,710.3
"Mangoes, guavas and mangosteens",720.6,107.8,0.0,828.4
Maté leaves,1822.9,6.2,-0.0,1829.1
Melonseed,4515.1,472.9,0.0,4988.0
Millet,3481.4,62.0,0.0,3543.4
Mixed Grasses and Legumes,130.7,17.0,-0.0,147.7
Mixed grain,990.5,15.1,-0.0,1005.6
Mushrooms and truffles,12.7,1.8,0.0,14.5
Mustard seed,3450.5,196.3,-0.0,3646.8
Natural rubber in primary forms,8980.5,68.3,-0.0,9048.8
"Nutmeg, mace, cardamoms, raw",26841.2,932.1,-0.0,27773.3
Oats,785.6,47.4,-0.0,833.0
Oil palm fruit,714.7,4.8,-0.0,719.5
Okra,705.0,58.2,0.0,763.2
Olives,2120.8,179.1,0.0,2299.9
"Onions and shallots, dry (excluding dehydrated)",135.8,63.7,-0.0,199.5
"Onions and shallots, green",137.2,43.1,-0.0,180.3
Oranges,315.5,89.4,0.0,404.9
"Other beans, green",207.9,41.9,-0.0,249.8
Other berries and fruits of the genus vaccinium n.e.c.,636.9,117.4,0.0,754.3
"Other citrus fruit, n.e.c.",738.9,49.5,-0.0,788.4
"Other fibre crops, raw, n.e.c.",9464.0,43.2,-0.0,9507.2
"Other forage products, n.e.c.",362.6,16.1,0.0,378.7
"Other fruits, n.e.c.",872.3,154.2,-0.0,1026.5
Other grasses for forage,354.0,23.0,-0.0,377.0
Other legumes for forage,131.4,25.5,-0.0,156.9
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",4571.6,769.2,-0.0,5340.8
"Other oil seeds, n.e.c.",3343.4,67.3,-0.0,3410.7
Other pome fruits,533.2,90.5,-0.0,623.7
Other pulses n.e.c.,2681.6,217.4,-0.0,2899.0
"Other stimulant, spice and aromatic crops, n.e.c.",1230.9,435.4,0.0,1666.3
Other stone fruits,554.0,379.0,0.0,933.0
Other sugar crops n.e.c.,1122.1,233.6,-0.0,1355.7
"Other tropical fruits, n.e.c.",952.9,81.8,0.0,1034.7
"Other vegetables, fresh n.e.c.",216.8,34.9,0.0,251.7
Papayas,231.3,14.9,0.0,246.2
Peaches and nectarines,343.3,83.6,0.0,426.9
Pears,341.4,32.2,-0.0,373.6
"Peas, dry",1196.8,96.6,-0.0,1293.4
